neighbourhood,n_id,designation,pop_2016,pop_2011,pop_change,private_dwellings,occupied_dwllings,pop_dens,area,total_commuters,drive,car_passenger,transit,walk,bike,other,pct_bike
Victoria Village,43,NIA,17510,17182,0.019,7562,7412,3710,4.72,7330,3650,320,3025,260,20,55,0.002728512960436562
Waterfront Communities-The Island,77,No Designation,65913,43361,0.52,47209,40756,8943,7.37,43785,9100,760,10915,20855,1570,610,0.035857028662784056
West Hill,136,NIA,27392,26547,0.032,10318,9986,2856,9.59,11050,5980,640,3990,290,30,95,0.0027149321266968325
West Humber-Clairville,1,No Designation,33312,34100,-0.023,11045,10285,1117,29.81,15575,9445,1140,4380,425,60,95,0.0038523274478330658
Westminster-Branson,35,Emerging Neighbourhood,26274,25446,0.033,10454,10234,7339,3.58,11905,5585,550,5275,345,60,110,0.00503989920201596
Weston,113,NIA,17992,18170,-0.01,8061,7600,7197,2.5,7805,4015,430,2975,285,30,90,0.003843689942344651
Weston-Pelham Park,91,NIA,11098,12010,-0.076,4559,4226,7601,1.46,5185,2070,415,2200,225,205,70,0.03953712632594021
Wexford/Maryvale,119,No Designation,27917,27018,0.033,10462,10106,2724,10.25,12360,7025,595,4170,380,80,105,0.006472491909385114
Willowdale East,51,No Designation,50434,45041,0.12,23901,22304,10087,5.0,21785,9890,695,9390,1550,50,215,0.0022951572182694515
Willowdale West,37,No Designation,16936,15004,0.129,8054,7549,5820,2.91,6900,3260,275,2845,405,55,55,0.007971014492753623
Willowridge-Martingrove-Richview,7,No Designation,22156,21343,0.038,8721,8509,4007,5.53,9360,6220,515,2380,140,20,65,0.002136752136752137
Woburn,137,NIA,53485,53350,0.003,19098,18436,4345,12.31,21595,11505,1405,7635,780,45,210,0.002083815698078259
Woodbine Corridor,64,No Designation,12541,11703,0.07200000000000001,5620,5454,7838,1.6,5965,2480,165,2540,340,380,70,0.06370494551550712
Woodbine-Lumsden,60,No Designation,7865,7826,0.005,3604,3449,6722,1.17,4100,1685,120,1940,145,175,30,0.042682926829268296
Wychwood,94,No Designation,14349,13986,0.026000000000000002,6185,5887,8541,1.68,6595,2190,195,3005,525,610,55,0.09249431387414708
Yonge-Eglinton,100,No Designation,11817,10578,0.11699999999999999,6103,5676,7162,1.65,5935,1970,155,2935,635,145,90,0.02443133951137321
Yonge-St.Clair,97,No Designation,12528,11652,0.075,7475,7012,10708,1.17,6345,2050,155,3170,715,155,95,0.02442868400315209
York University Heights,27,NIA,27593,27713,-0.004,11051,10170,2086,13.23,12790,5945,665,5405,585,115,75,0.008991399530883503
Yorkdale-Glen Park,31,Emerging Neighbourhood,14804,14687,0.008,5847,5344,2451,6.04,6420,3205,355,2400,360,30,85,0.004672897196261682
